Knowledge,OralExpression,Deduction,MentalRotation,Visualization,Vocabulary,Analogies,Quantitative,PatternRecognition
-0.193722378,-0.319410033,-0.831050015,-0.235483906,-0.00874325,0.036217625,-0.828767978,-0.036816546,-0.876688651
-0.246814726,0.865348108,0.646176489,1.512130015,0.354229182,0.393170663,0.437367481,-0.02804369,0.997275119
-0.780809022,0.159175879,-1.474342566,-0.850214314,-1.275227219,-0.903946645,0.589317661,0.256390059,-0.866859705
-1.404992447,-0.747363696,-0.52235641,0.219444579,-1.043525826,-1.114910053,-0.522331317,-1.516372521,-0.956954611
-0.413870152,-0.711845564,0.450010921,-0.218452021,0.034577331,0.52532648,0.747360726,-0.673342221,-0.07362392
-0.464921019,0.74668158,-0.500525941,0.505342607,0.328531267,-1.702249226,0.025110757,1.81908129,0.015344376
-0.967419156,0.723823506,0.129744764,0.010670897,-0.574442883,-0.832842963,-0.755423258,0.259532753,-0.439273871
1.069565536,1.428924329,0.67055486,1.206912418,1.187625799,0.3775811,2.31889873,2.222728012,1.263509124
0.942165696,-0.822890726,-0.14987337,-0.211946117,-0.153552521,-0.205640984,-0.435519754,0.161680838,-0.088341733
-0.703689882,-1.297176622,-0.180500731,-0.094846707,-0.240735081,-0.376440849,0.273499867,-0.925628521,-0.584522628
0.007208845,-0.647766648,0.100147969,-1.386012573,-0.698119507,0.920147111,-0.648562758,-1.544622379,-1.331179146
0.041602813,-0.263019023,-0.915459329,0.292143945,0.037307215,0.258731309,-1.448283953,-0.436894076,-0.52942631
0.420165399,-1.835556494,2.435123632,0.51381676,0.305780322,0.07035799,1.45166706,-0.488405466,1.02900774
-1.09765283,-0.501599383,0.513521992,0.141891437,-0.217168382,-0.806736278,-0.366329963,0.335898574,-0.068229963
-1.800300017,-0.694750672,-0.542721985,-1.378743767,-1.543100927,-1.062005465,-0.606028885,0.443284364,-1.371733353
-0.512475364,-0.844715098,-1.386106052,-0.517852006,-0.326441774,-0.220048168,-0.909786205,-0.551604291,-0.43369749
